"Date","Time","Open","High","Low","Close","Vol","OI"
04/15/2011,15:00,5.13,5.24,5.08,5.12,4717255,0
04/18/2011,15:00,5.03,5.12,4.87,5.01,5169355,0
04/19/2011,15:00,5.05,5.05,4.93,5.03,2743465,0
04/20/2011,15:00,5.14,5.22,5.06,5.15,4187345,0
04/21/2011,15:00,5.17,5.40,5.12,5.35,6930265,0
04/25/2011,15:00,5.34,5.35,5.19,5.28,4004195,0
04/26/2011,15:00,5.33,5.45,5.26,5.39,6861715,0
04/27/2011,15:00,5.39,5.47,5.33,5.42,4984505,0
04/28/2011,15:00,5.41,5.54,5.34,5.53,8224985,0
04/29/2011,15:00,5.54,5.57,5.48,5.52,3631700,0
05/02/2011,15:00,5.52,5.56,5.41,5.49,3922800,0
05/03/2011,15:00,5.48,5.48,5.30,5.37,4569825,0
05/04/2011,15:00,5.36,5.40,5.15,5.34,5235845,0
05/05/2011,15:00,5.44,5.49,5.23,5.29,6097245,0
05/06/2011,15:00,5.38,5.54,5.32,5.42,4908030,0
05/09/2011,15:00,5.40,5.60,5.37,5.58,4581515,0
05/10/2011,15:00,5.65,5.79,5.58,5.67,7678130,0
05/11/2011,15:00,5.64,5.66,5.38,5.41,4814825,0
05/12/2011,15:00,5.41,5.55,5.33,5.53,3138700,0
05/13/2011,15:00,5.60,5.64,5.46,5.51,3307885,0
05/16/2011,15:00,5.60,5.60,5.31,5.32,3778110,0
05/17/2011,15:00,5.40,5.40,5.14,5.19,6170780,0
05/18/2011,15:00,5.10,5.29,5.10,5.27,3647035,0
05/19/2011,15:00,5.41,5.69,5.32,5.64,13276835,0
05/20/2011,15:00,5.65,5.66,5.47,5.59,4212670,0
05/23/2011,15:00,5.52,5.52,5.32,5.36,4317740,0
05/24/2011,15:00,5.40,5.50,5.32,5.34,3068365,0
05/25/2011,15:00,5.38,5.80,5.23,5.80,23469055,0
05/26/2011,15:00,5.76,5.95,5.62,5.90,16684455,0
05/27/2011,15:00,5.91,5.93,5.76,5.91,8435345,0
05/31/2011,15:00,5.94,6.06,5.91,6.03,16452610,0
06/01/2011,15:00,6.00,6.02,5.68,5.70,7651980,0
06/02/2011,15:00,5.70,5.86,5.70,5.75,4931470,0
06/03/2011,15:00,5.99,6.30,5.90,6.03,31051045,0
06/06/2011,15:00,6.02,6.03,5.65,5.74,11658835,0
06/07/2011,15:00,5.79,5.88,5.65,5.67,6110495,0
06/08/2011,15:00,5.69,5.72,5.40,5.42,8484680,0
06/09/2011,15:00,5.49,5.62,5.42,5.52,8021100,0
06/10/2011,15:00,5.50,5.66,5.47,5.57,7832660,0
06/13/2011,15:00,5.61,5.78,5.58,5.69,8568805,0
06/14/2011,15:00,5.71,5.94,5.70,5.72,7866550,0
06/15/2011,15:00,5.69,5.69,5.41,5.46,6732895,0
06/16/2011,15:00,5.53,5.60,5.15,5.30,9210620,0
06/17/2011,15:00,5.37,5.54,5.23,5.30,8569825,0
06/20/2011,15:00,5.26,5.29,5.10,5.20,7688545,0
06/21/2011,15:00,5.25,5.55,5.20,5.51,7482815,0
06/22/2011,15:00,5.47,5.65,5.42,5.44,7377665,0
06/23/2011,15:00,5.44,5.54,5.24,5.54,5849950,0
06/24/2011,15:00,5.53,5.59,5.45,5.51,18044290,0
06/27/2011,15:00,5.55,5.66,5.46,5.49,9046835,0
06/28/2011,15:00,5.56,5.65,5.53,5.62,4445660,0
06/29/2011,15:00,5.70,5.82,5.61,5.66,7308540,0
06/30/2011,15:00,5.70,5.87,5.68,5.83,4733270,0
07/01/2011,15:00,5.81,5.92,5.76,5.80,4274195,0
07/05/2011,15:00,5.80,5.90,5.74,5.83,4979945,0
07/06/2011,15:00,5.83,5.83,5.71,5.79,4634445,0
07/07/2011,15:00,5.83,6.00,5.80,5.95,6639105,0
07/08/2011,15:00,5.98,5.98,5.72,5.76,6202900,0
07/11/2011,15:00,5.68,5.71,5.60,5.67,4878515,0
07/12/2011,15:00,5.67,5.82,5.60,5.63,5227030,0
07/13/2011,15:00,5.69,5.81,5.58,5.73,5329710,0
07/14/2011,15:00,5.71,5.79,5.45,5.52,5795655,0
07/15/2011,15:00,5.56,5.57,5.48,5.52,3544770,0
07/18/2011,15:00,5.47,5.49,5.33,5.45,4261585,0
07/19/2011,15:00,5.52,5.62,5.51,5.58,5130240,0
07/20/2011,15:00,5.60,6.09,5.56,5.74,15241970,0
07/21/2011,15:00,5.78,5.83,5.62,5.74,5060030,0
07/22/2011,15:00,5.74,5.91,5.71,5.86,2919340,0
07/25/2011,15:00,5.80,5.85,5.69,5.70,3367455,0
07/26/2011,15:00,5.66,5.75,5.59,5.60,3814660,0
07/27/2011,15:00,5.70,5.70,5.50,5.53,4792015,0
07/28/2011,15:00,5.52,5.71,5.51,5.63,4693645,0
07/29/2011,15:00,5.56,5.68,5.50,5.63,4740635,0
